,Body,name,score,Hand,name,score,Skin,name,score
201,3,ss,92796.8,2,ba,86997.0,4,qoq,93784.0
202,0,a,92796.8,2,ba,86997.0,0,qqw,93784.0
203,5,lsad,104396.4,4,lks,92796.8,2,qwq,87922.5
204,5,lsad,104396.4,5,x,104396.4,2,qwq,87922.5
205,3,ss,92796.8,3,dda,98596.6,4,qoq,93784.0
206,0,a,92796.8,1,ca,104396.4,3,qqi,87922.5
207,0,a,92796.8,5,x,104396.4,2,qwq,87922.5
208,4,sss,82357.16,0,an,92796.8,3,qqi,87922.5
209,2,dd,92796.8,1,ca,104396.4,3,qqi,87922.5
210,3,ss,92796.8,1,ca,104396.4,4,qoq,93784.0
211,4,sss,82357.16,2,ba,86997.0,3,qqi,87922.5
212,3,ss,92796.8,2,ba,86997.0,4,qoq,93784.0
213,0,a,92796.8,2,ba,86997.0,2,qwq,87922.5
214,3,ss,92796.8,5,x,104396.4,2,qwq,87922.5
215,0,a,92796.8,4,lks,92796.8,2,qwq,87922.5
216,2,dd,92796.8,5,x,104396.4,0,qqw,93784.0
217,2,dd,92796.8,4,lks,92796.8,3,qqi,87922.5
218,3,ss,92796.8,4,lks,92796.8,2,qwq,87922.5
219,0,a,92796.8,4,lks,92796.8,4,qoq,93784.0
220,2,dd,92796.8,4,lks,92796.8,4,qoq,93784.0
221,4,sss,82357.16,3,dda,98596.6,3,qqi,87922.5
222,5,lsad,104396.4,3,dda,98596.6,0,qqw,93784.0
223,4,sss,82357.16,2,ba,86997.0,4,qoq,93784.0
224,2,dd,92796.8,0,an,92796.8,0,qqw,93784.0
225,0,a,92796.8,0,an,92796.8,3,qqi,87922.5
226,0,a,92796.8,2,ba,86997.0,1,qxq,105507.0
227,0,a,92796.8,5,x,104396.4,0,qqw,93784.0
228,0,a,92796.8,4,lks,92796.8,3,qqi,87922.5
229,1,v,114836.04,3,dda,98596.6,4,qoq,93784.0
230,4,sss,82357.16,2,ba,86997.0,2,qwq,87922.5
231,5,lsad,104396.4,0,an,92796.8,4,qoq,93784.0
232,2,dd,92796.8,0,an,92796.8,2,qwq,87922.5
233,2,dd,92796.8,2,ba,86997.0,0,qqw,93784.0
234,3,ss,92796.8,0,an,92796.8,1,qxq,105507.0
235,2,dd,92796.8,2,ba,86997.0,1,qxq,105507.0
236,2,dd,92796.8,0,an,92796.8,3,qqi,87922.5
237,3,ss,92796.8,1,ca,104396.4,4,qoq,93784.0
238,2,dd,92796.8,1,ca,104396.4,4,qoq,93784.0
239,5,lsad,104396.4,4,lks,92796.8,2,qwq,87922.5
240,4,sss,82357.16,4,lks,92796.8,1,qxq,105507.0
241,0,a,92796.8,2,ba,86997.0,1,qxq,105507.0
242,2,dd,92796.8,4,lks,92796.8,0,qqw,93784.0
243,4,sss,82357.16,0,an,92796.8,2,qwq,87922.5
244,4,sss,82357.16,0,an,92796.8,2,qwq,87922.5
245,2,dd,92796.8,4,lks,92796.8,3,qqi,87922.5
246,4,sss,82357.16,3,dda,98596.6,4,qoq,93784.0
247,2,dd,92796.8,2,ba,86997.0,0,qqw,93784.0
248,4,sss,82357.16,2,ba,86997.0,4,qoq,93784.0
249,4,sss,82357.16,0,an,92796.8,3,qqi,87922.5
250,0,a,92796.8,2,ba,86997.0,2,qwq,87922.5
251,4,sss,82357.16,0,an,92796.8,0,qqw,93784.0
252,3,ss,92796.8,2,ba,86997.0,4,qoq,93784.0
253,3,ss,92796.8,2,ba,86997.0,2,qwq,87922.5
254,2,dd,92796.8,0,an,92796.8,2,qwq,87922.5
255,0,a,92796.8,1,ca,104396.4,1,qxq,105507.0
256,4,sss,82357.16,3,dda,98596.6,2,qwq,87922.5
257,4,sss,82357.16,3,dda,98596.6,4,qoq,93784.0
258,4,sss,82357.16,4,lks,92796.8,1,qxq,105507.0
259,2,dd,92796.8,2,ba,86997.0,3,qqi,87922.5
260,4,sss,82357.16,5,x,104396.4,3,qqi,87922.5
261,4,sss,82357.16,1,ca,104396.4,2,qwq,87922.5
262,2,dd,92796.8,4,lks,92796.8,4,qoq,93784.0
263,4,sss,82357.16,4,lks,92796.8,2,qwq,87922.5
264,4,sss,82357.16,0,an,92796.8,0,qqw,93784.0
265,4,sss,82357.16,1,ca,104396.4,3,qqi,87922.5
266,4,sss,82357.16,3,dda,98596.6,0,qqw,93784.0
267,5,lsad,104396.4,2,ba,86997.0,4,qoq,93784.0
268,0,a,92796.8,3,dda,98596.6,3,qqi,87922.5
269,4,sss,82357.16,4,lks,92796.8,3,qqi,87922.5
270,0,a,92796.8,3,dda,98596.6,2,qwq,87922.5
271,0,a,92796.8,2,ba,86997.0,3,qqi,87922.5
272,0,a,92796.8,5,x,104396.4,4,qoq,93784.0
273,3,ss,92796.8,3,dda,98596.6,1,qxq,105507.0
274,2,dd,92796.8,2,ba,86997.0,2,qwq,87922.5
275,0,a,92796.8,3,dda,98596.6,0,qqw,93784.0
276,4,sss,82357.16,0,an,92796.8,4,qoq,93784.0
277,4,sss,82357.16,1,ca,104396.4,2,qwq,87922.5
278,0,a,92796.8,1,ca,104396.4,3,qqi,87922.5
279,2,dd,92796.8,2,ba,86997.0,0,qqw,93784.0
280,5,lsad,104396.4,3,dda,98596.6,0,qqw,93784.0
281,0,a,92796.8,0,an,92796.8,2,qwq,87922.5
282,4,sss,82357.16,2,ba,86997.0,2,qwq,87922.5
283,3,ss,92796.8,4,lks,92796.8,3,qqi,87922.5
284,4,sss,82357.16,1,ca,104396.4,1,qxq,105507.0
285,5,lsad,104396.4,3,dda,98596.6,3,qqi,87922.5
286,4,sss,82357.16,2,ba,86997.0,0,qqw,93784.0
287,4,sss,82357.16,0,an,92796.8,2,qwq,87922.5
288,2,dd,92796.8,3,dda,98596.6,3,qqi,87922.5
289,3,ss,92796.8,0,an,92796.8,4,qoq,93784.0
290,0,a,92796.8,0,an,92796.8,0,qqw,93784.0
291,4,sss,82357.16,0,an,92796.8,2,qwq,87922.5
292,0,a,92796.8,2,ba,86997.0,0,qqw,93784.0
293,2,dd,92796.8,5,x,104396.4,2,qwq,87922.5
294,0,a,92796.8,4,lks,92796.8,2,qwq,87922.5
295,0,a,92796.8,5,x,104396.4,0,qqw,93784.0
296,4,sss,82357.16,3,dda,98596.6,2,qwq,87922.5
297,2,dd,92796.8,2,ba,86997.0,2,qwq,87922.5
298,2,dd,92796.8,0,an,92796.8,2,qwq,87922.5
299,5,lsad,104396.4,0,an,92796.8,4,qoq,93784.0
300,0,a,92796.8,0,an,92796.8,1,qxq,105507.0
301,4,sss,82357.16,2,ba,86997.0,0,qqw,93784.0
302,4,sss,82357.16,3,dda,98596.6,1,qxq,105507.0
303,0,a,92796.8,3,dda,98596.6,4,qoq,93784.0
304,3,ss,92796.8,3,dda,98596.6,0,qqw,93784.0
305,0,a,92796.8,2,ba,86997.0,4,qoq,93784.0
306,4,sss,82357.16,5,x,104396.4,3,qqi,87922.5
307,2,dd,92796.8,2,ba,86997.0,3,qqi,87922.5
308,2,dd,92796.8,5,x,104396.4,1,qxq,105507.0
309,0,a,92796.8,5,x,104396.4,2,qwq,87922.5
310,4,sss,82357.16,3,dda,98596.6,0,qqw,93784.0
311,3,ss,92796.8,1,ca,104396.4,0,qqw,93784.0
312,4,sss,82357.16,3,dda,98596.6,2,qwq,87922.5
313,3,ss,92796.8,3,dda,98596.6,2,qwq,87922.5
314,5,lsad,104396.4,3,dda,98596.6,2,qwq,87922.5
315,4,sss,82357.16,1,ca,104396.4,3,qqi,87922.5
316,2,dd,92796.8,2,ba,86997.0,2,qwq,87922.5
317,0,a,92796.8,3,dda,98596.6,0,qqw,93784.0
318,0,a,92796.8,3,dda,98596.6,3,qqi,87922.5
319,3,ss,92796.8,2,ba,86997.0,0,qqw,93784.0
320,0,a,92796.8,0,an,92796.8,2,qwq,87922.5
321,2,dd,92796.8,4,lks,92796.8,0,qqw,93784.0
322,3,ss,92796.8,4,lks,92796.8,3,qqi,87922.5
323,5,lsad,104396.4,2,ba,86997.0,1,qxq,105507.0
324,3,ss,92796.8,3,dda,98596.6,0,qqw,93784.0
325,4,sss,82357.16,0,an,92796.8,0,qqw,93784.0
326,2,dd,92796.8,0,an,92796.8,0,qqw,93784.0
327,4,sss,82357.16,0,an,92796.8,0,qqw,93784.0
328,4,sss,82357.16,5,x,104396.4,0,qqw,93784.0
329,4,sss,82357.16,2,ba,86997.0,2,qwq,87922.5
330,3,ss,92796.8,4,lks,92796.8,3,qqi,87922.5
331,0,a,92796.8,0,an,92796.8,0,qqw,93784.0
332,4,sss,82357.16,3,dda,98596.6,2,qwq,87922.5
333,4,sss,82357.16,2,ba,86997.0,1,qxq,105507.0
334,0,a,92796.8,0,an,92796.8,3,qqi,87922.5
335,0,a,92796.8,4,lks,92796.8,1,qxq,105507.0
336,4,sss,82357.16,2,ba,86997.0,0,qqw,93784.0
337,4,sss,82357.16,4,lks,92796.8,3,qqi,87922.5
338,4,sss,82357.16,5,x,104396.4,1,qxq,105507.0
339,2,dd,92796.8,0,an,92796.8,3,qqi,87922.5
340,4,sss,82357.16,2,ba,86997.0,0,qqw,93784.0
341,4,sss,82357.16,4,lks,92796.8,4,qoq,93784.0
342,4,sss,82357.16,3,dda,98596.6,1,qxq,105507.0
343,0,a,92796.8,2,ba,86997.0,3,qqi,87922.5
344,3,ss,92796.8,4,lks,92796.8,4,qoq,93784.0
345,2,dd,92796.8,3,dda,98596.6,4,qoq,93784.0
346,0,a,92796.8,2,ba,86997.0,2,qwq,87922.5
347,4,sss,82357.16,4,lks,92796.8,4,qoq,93784.0
348,0,a,92796.8,3,dda,98596.6,1,qxq,105507.0
349,3,ss,92796.8,3,dda,98596.6,3,qqi,87922.5
350,3,ss,92796.8,4,lks,92796.8,3,qqi,87922.5
351,4,sss,82357.16,0,an,92796.8,0,qqw,93784.0
352,2,dd,92796.8,5,x,104396.4,4,qoq,93784.0
353,3,ss,92796.8,2,ba,86997.0,1,qxq,105507.0
354,3,ss,92796.8,0,an,92796.8,2,qwq,87922.5
355,0,a,92796.8,5,x,104396.4,3,qqi,87922.5
356,4,sss,82357.16,0,an,92796.8,2,qwq,87922.5
357,4,sss,82357.16,0,an,92796.8,2,qwq,87922.5
358,0,a,92796.8,2,ba,86997.0,0,qqw,93784.0
359,3,ss,92796.8,4,lks,92796.8,2,qwq,87922.5
360,0,a,92796.8,3,dda,98596.6,4,qoq,93784.0
361,0,a,92796.8,5,x,104396.4,2,qwq,87922.5
362,4,sss,82357.16,0,an,92796.8,4,qoq,93784.0
363,3,ss,92796.8,5,x,104396.4,3,qqi,87922.5
364,4,sss,82357.16,0,an,92796.8,3,qqi,87922.5
365,3,ss,92796.8,5,x,104396.4,0,qqw,93784.0
366,3,ss,92796.8,3,dda,98596.6,2,qwq,87922.5
367,2,dd,92796.8,3,dda,98596.6,0,qqw,93784.0
368,2,dd,92796.8,0,an,92796.8,0,qqw,93784.0
369,0,a,92796.8,2,ba,86997.0,2,qwq,87922.5
370,3,ss,92796.8,0,an,92796.8,2,qwq,87922.5
371,1,v,114836.04,2,ba,86997.0,3,qqi,87922.5
372,4,sss,82357.16,2,ba,86997.0,4,qoq,93784.0
373,2,dd,92796.8,2,ba,86997.0,3,qqi,87922.5
374,2,dd,92796.8,2,ba,86997.0,3,qqi,87922.5
375,2,dd,92796.8,4,lks,92796.8,0,qqw,93784.0
376,0,a,92796.8,0,an,92796.8,0,qqw,93784.0
377,4,sss,82357.16,1,ca,104396.4,0,qqw,93784.0
378,0,a,92796.8,1,ca,104396.4,3,qqi,87922.5
379,3,ss,92796.8,4,lks,92796.8,1,qxq,105507.0
380,4,sss,82357.16,4,lks,92796.8,0,qqw,93784.0
381,3,ss,92796.8,0,an,92796.8,3,qqi,87922.5
382,0,a,92796.8,0,an,92796.8,2,qwq,87922.5
383,0,a,92796.8,0,an,92796.8,0,qqw,93784.0
384,3,ss,92796.8,0,an,92796.8,0,qqw,93784.0
385,4,sss,82357.16,4,lks,92796.8,2,qwq,87922.5
386,3,ss,92796.8,1,ca,104396.4,1,qxq,105507.0
387,4,sss,82357.16,0,an,92796.8,4,qoq,93784.0
388,2,dd,92796.8,3,dda,98596.6,4,qoq,93784.0
389,3,ss,92796.8,4,lks,92796.8,1,qxq,105507.0
390,2,dd,92796.8,3,dda,98596.6,3,qqi,87922.5
391,2,dd,92796.8,5,x,104396.4,1,qxq,105507.0
392,0,a,92796.8,2,ba,86997.0,3,qqi,87922.5
393,2,dd,92796.8,2,ba,86997.0,1,qxq,105507.0
394,3,ss,92796.8,4,lks,92796.8,3,qqi,87922.5
395,4,sss,82357.16,5,x,104396.4,3,qqi,87922.5
396,3,ss,92796.8,2,ba,86997.0,3,qqi,87922.5
397,4,sss,82357.16,4,lks,92796.8,4,qoq,93784.0
398,0,a,92796.8,0,an,92796.8,4,qoq,93784.0
399,0,a,92796.8,2,ba,86997.0,4,qoq,93784.0
400,1,v,114836.04,1,ca,104396.4,2,qwq,87922.5
401,0,a,92796.8,1,ca,104396.4,0,qqw,93784.0
402,4,sss,82357.16,0,an,92796.8,0,qqw,93784.0
403,5,lsad,104396.4,3,dda,98596.6,3,qqi,87922.5
404,0,a,92796.8,4,lks,92796.8,2,qwq,87922.5
405,4,sss,82357.16,5,x,104396.4,1,qxq,105507.0
406,0,a,92796.8,2,ba,86997.0,2,qwq,87922.5
407,4,sss,82357.16,3,dda,98596.6,2,qwq,87922.5
408,2,dd,92796.8,1,ca,104396.4,3,qqi,87922.5
409,2,dd,92796.8,4,lks,92796.8,3,qqi,87922.5
410,4,sss,82357.16,5,x,104396.4,0,qqw,93784.0
411,4,sss,82357.16,4,lks,92796.8,3,qqi,87922.5
412,3,ss,92796.8,4,lks,92796.8,4,qoq,93784.0
413,2,dd,92796.8,0,an,92796.8,0,qqw,93784.0
414,0,a,92796.8,2,ba,86997.0,4,qoq,93784.0
415,0,a,92796.8,1,ca,104396.4,2,qwq,87922.5
416,3,ss,92796.8,2,ba,86997.0,2,qwq,87922.5
417,2,dd,92796.8,1,ca,104396.4,0,qqw,93784.0
418,3,ss,92796.8,0,an,92796.8,3,qqi,87922.5
419,5,lsad,104396.4,4,lks,92796.8,4,qoq,93784.0
420,2,dd,92796.8,3,dda,98596.6,2,qwq,87922.5
421,4,sss,82357.16,2,ba,86997.0,4,qoq,93784.0
422,4,sss,82357.16,2,ba,86997.0,0,qqw,93784.0
423,4,sss,82357.16,0,an,92796.8,3,qqi,87922.5
424,4,sss,82357.16,4,lks,92796.8,3,qqi,87922.5
425,0,a,92796.8,5,x,104396.4,3,qqi,87922.5
426,4,sss,82357.16,2,ba,86997.0,3,qqi,87922.5
427,3,ss,92796.8,5,x,104396.4,4,qoq,93784.0
