Hand,Neck
19,11
7,45
26,30
2,8
0,5
6,16
13,6
0,0
21,10
3,4
0,0
9,47
14,33
13,32
11,0
4,14
17,3
0,0
25,11
21,31
19,5
13,30
20,4
22,23
4,1
25,10
26,0
0,12
11,0
3,44
19,32
21,24
14,37
7,6
2,23
7,36
2,47
21,34
17,39
0,14
14,36
24,47
26,27
5,0
14,18
25,45
0,12
2,33
0,6
19,18
26,23
7,0
6,35
16,24
25,22
11,23
8,1
8,2
18,29
18,28
4,8
0,19
14,15
11,41
7,30
8,30
23,2
20,15
1,12
0,4
1,23
8,43
8,33
11,39
26,25
0,33
0,0
17,43
15,11
11,0
20,1
7,32
4,45
0,0
14,0
0,12
4,33
2,15
19,28
16,28
13,0
0,11
1,8
7,32
17,21
0,9
5,14
16,37
26,6
23,47
0,12
4,39
4,19
13,12
14,18
18,0
0,0
9,6
11,16
19,6
10,5
0,11
20,16
0,44
14,43
26,46
3,1
0,20
13,22
1,31
17,11
15,33
5,23
13,31
7,32
19,11
0,39
5,47
8,6
17,34
2,12
15,0
23,3
0,38
19,0
13,1
3,21
2,14
11,30
17,0
26,5
21,13
2,17
10,18
26,43
0,16
12,39
3,2
26,12
0,3
1,4
23,13
10,11
26,35
14,41
1,32
18,0
0,29
2,12
4,18
0,0
23,38
11,19
5,43
26,35
7,36
10,40
6,27
19,24
0,41
21,33
14,17
25,16
2,38
5,5
21,0
11,25
10,0
2,23
20,24
13,37
20,27
20,24
9,2
21,15
21,12
13,14
11,28
4,28
1,2
21,16
1,27
8,37
11,43
0,46
25,33
14,40
5,21
1,27
3,32
14,0
0,28
11,31
2,4
10,16
0,5
5,32
11,43
15,18
0,0
22,29
14,2
0,20
1,0
26,16
25,25
23,27
7,38
16,2
17,32
8,47
19,28
0,0
0,20
14,35
2,25
0,9
0,11
10,23
13,17
4,1
26,11
7,11
10,0
12,3
19,11
24,0
13,22
0,18
12,11
20,0
6,0
15,44
8,41
26,16
0,13
8,41
0,0
12,31
15,11
2,0
20,2
8,32
22,37
19,33
4,47
0,0
0,0
21,14
0,14
15,0
22,4
26,13
15,45
0,7
1,30
14,10
0,10
5,22
8,9
0,44
15,37
8,2
13,32
18,34
11,43
26,32
14,4
0,34
5,12
6,47
26,45
15,0
5,9
8,41
26,11
17,2
0,30
6,39
26,21
0,2
0,23
0,12
0,45
0,9
15,47
8,19
26,40
16,47
11,9
8,44
11,8
8,37
2,8
0,11
18,15
5,47
8,11
13,9
19,18
26,37
23,7
4,14
4,0
4,29
10,47
0,19
10,40
7,11
2,44
1,0
16,47
0,11
0,47
5,32
8,10
10,11
25,39
12,10
9,15
17,35
3,21
24,1
0,34
19,34
0,14
2,40
10,35
15,0
19,24
23,33
0,20
4,7
8,3
4,22
18,1
14,24
15,22
0,23
0,35
21,13
16,43
11,32
24,36
16,0
10,0
24,0
26,31
19,28
14,45
15,23
13,44
20,7
0,16
0,0
0,0
14,8
5,0
6,22
8,37
25,11
21,1
0,4
12,18
0,11
0,28
17,0
15,11
22,29
0,24
0,16
17,40
12,25
7,2
22,25
0,33
17,0
7,31
19,36
0,0
8,31
26,7
8,12
0,13
0,36
21,21
0,44
10,9
14,36
26,10
25,6
15,14
13,2
0,13
0,45
26,16
15,20
0,25
0,22
3,24
0,47
26,11
15,6
17,44
5,38
4,25
19,25
10,11
2,9
24,44
7,45
10,0
20,0
8,25
19,10
4,27
5,11
15,34
13,11
14,15
26,0
1,18
19,23
10,8
17,43
0,10
10,12
21,4
8,25
10,0
11,39
9,0
10,31
5,36
5,21
0,30
20,15
14,35
23,11
20,8
11,34
8,40
1,42
11,36
10,14
25,14
20,2
11,10
25,10
19,23
19,24
17,0
24,34
0,31
0,0
0,34
7,44
19,37
6,40
0,33
13,39
11,35
21,29
1,6
15,11
0,7
21,30
4,21
0,28
13,0
7,23
2,16
23,11
0,0
17,39
4,12
7,14
2,0
12,16
0,25
0,13
4,0
12,11
2,21
0,41
17,20
14,6
14,2
7,34
3,36
19,30
19,8
18,11
21,38
15,7
12,18
11,37
20,44
14,23
26,16
2,40
26,25
11,10
6,25
15,39
0,3
0,19
10,33
0,13
0,21
13,11
0,2
16,18
1,5
26,23
21,16
11,37
13,23
0,11
0,6
19,15
8,20
20,0
8,43
26,35
15,16
0,36
14,41
10,44
15,4
6,31
8,9
0,6
2,0
0,10
0,0
26,41
19,25
5,42
16,14
19,7
0,21
6,21
8,40
20,3
8,11
0,0
17,26
4,33
0,47
0,43
1,45
13,8
3,47
21,37
0,10
15,11
1,9
0,26
0,3
21,5
10,1
20,13
14,7
0,0
25,35
1,21
4,15
21,4
5,24
23,27
19,15
11,46
8,3
8,2
20,11
3,33
0,37
0,38
26,8
25,27
4,2
5,7
4,40
26,46
20,3
21,11
15,1
8,25
19,40
15,12
14,0
0,27
14,45
0,21
14,30
11,45
2,24
13,39
0,6
2,21
2,28
20,33
20,0
4,18
11,37
13,46
26,12
23,44
12,9
8,33
0,32
1,0
0,39
6,15
1,40
26,45
14,21
4,14
4,3
0,35
4,9
4,47
8,3
26,0
5,11
15,2
1,1
0,38
0,13
4,4
2,28
11,23
16,24
20,13
0,18
15,13
26,29
15,45
3,19
19,39
2,8
9,30
3,2
19,33
0,0
0,3
0,14
0,0
0,21
4,24
15,12
26,5
14,14
26,0
6,2
16,19
16,11
14,40
8,32
0,0
17,17
26,35
13,13
5,8
8,16
4,14
26,36
0,0
14,14
4,18
0,12
5,42
8,45
17,18
15,33
13,16
0,10
11,9
0,37
8,10
25,42
13,0
0,15
19,10
4,0
0,33
7,6
13,11
0,11
0,0
15,8
19,25
15,39
0,23
0,2
16,22
0,4
11,32
14,0
8,35
25,39
6,40
8,5
23,37
0,22
11,37
0,44
19,29
19,30
20,1
13,45
16,41
0,43
26,0
6,5
23,26
13,9
21,10
16,45
13,9
24,12
7,0
15,34
13,32
12,21
18,28
14,0
21,11
20,25
14,26
0,0
20,6
15,15
15,39
11,24
15,15
10,37
3,19
26,1
19,41
19,20
0,37
10,0
11,11
20,44
2,14
14,3
21,47
0,9
0,0
21,0
0,29
26,0
13,14
19,5
2,32
22,24
8,29
0,21
0,28
7,31
14,13
14,24
0,3
0,23
0,8
19,14
13,21
3,21
2,8
8,21
2,18
20,4
26,11
2,40
15,22
13,23
5,38
25,11
24,41
20,13
0,21
0,15
0,33
23,4
17,0
2,8
14,29
15,31
8,20
25,45
3,34
0,10
17,14
1,23
0,23
26,28
14,0
0,43
18,0
13,37
15,47
26,14
20,47
0,5
15,21
22,19
0,35
4,39
18,31
6,45
20,0
10,2
15,34
15,39
3,33
0,8
13,41
21,25
15,6
6,0
16,14
23,41
15,3
0,23
0,43
19,33
14,17
5,19
11,25
20,39
5,0
0,34
0,43
21,27
1,18
17,7
17,18
10,0
19,24
2,45
4,0
13,44
6,5
14,13
0,44
10,37
24,32
5,3
0,27
10,0
26,36
25,36
20,27
19,21
0,44
0,26
12,16
5,5
22,3
5,22
25,6
15,30
10,15
25,17
22,41
17,10
25,27
13,14
0,11
10,43
14,15
8,0
26,28
17,47
18,21
22,0
8,25
16,15
21,39
7,8
19,11
7,24
11,19
0,9
0,30
17,2
1,25
10,14
24,30
0,24
8,40
26,13
14,19
20,37
0,8
14,37
26,12
9,0
0,0
26,0
13,8
17,29
12,19
25,18
7,44
19,15
0,0
0,0
13,14
14,1
10,0
0,10
12,38
8,27
26,12
7,12
0,1
10,30
13,27
0,10
26,3
0,0
16,14
8,30
0,41
0,29
8,5
0,0
17,0
0,45
26,0
0,38
0,6
14,7
4,44
0,37
20,11
0,15
15,9
10,36
26,30
21,19
13,27
0,45
12,0
11,0
5,44
0,12
23,16
0,23
0,44
8,30
7,10
0,0
17,8
10,9
11,22
17,41
4,31
10,18
0,16
13,21
25,14
17,15
21,0
26,5
21,28
25,47
1,0
0,31
26,30
10,25
20,1
0,0
17,3
3,17
13,47
22,11
17,36
17,43
15,0
0,25
14,30
12,0
15,34
20,15
10,0
10,40
0,1
26,9
0,36
21,19
8,25
26,11
25,17
13,28
8,17
21,20
5,6
0,19
13,9
11,21
13,39
17,15
7,28
9,3
5,19
19,13
2,19
0,26
6,36
0,36
21,41
7,0
7,39
15,30
7,20
5,8
20,33
0,45
16,41
17,16
18,41
21,41
7,37
11,11
23,14
4,1
19,14
25,14
15,14
10,19
0,16
11,0
13,0
26,13
23,32
11,7
26,19
24,14
15,39
0,4
2,41
16,0
0,37
5,39
18,31
26,41
14,40
11,18
17,37
0,8
11,43
5,47
23,1
0,3
11,16
5,0
0,10
22,18
13,6
4,40
25,9
1,39
15,44
0,11
7,33
0,11
21,11
2,18
26,37
16,0
22,39
11,0
14,42
0,0
19,0
15,19
5,11
19,18
19,8
8,12
10,24
19,15
25,11
11,45
0,22
0,0
1,0
0,32
2,21
13,11
2,44
3,40
25,8
21,19
0,9
26,31
3,23
26,13
17,21
10,39
19,40
21,8
21,8
11,21
0,42
26,41
7,25
0,46
5,0
11,13
15,19
26,19
25,25
13,4
16,16
7,45
8,13
4,45
0,11
0,37
1,33
19,0
25,41
26,13
17,47
19,38
4,3
13,36
25,38
0,11
15,5
0,22
0,45
10,43
6,35
26,43
7,0
9,37
10,10
17,44
25,13
0,12
0,37
26,14
0,13
10,11
1,26
0,41
4,3
5,1
8,17
0,40
14,7
21,41
0,22
7,17
0,36
0,36
26,1
17,0
5,31
5,0
0,24
19,36
17,0
16,11
4,32
5,12
0,0
20,17
8,28
8,7
25,47
18,31
0,0
5,24
19,0
17,42
3,4
0,21
16,27
18,15
0,12
19,17
20,5
19,0
15,30
1,45
25,10
17,2
0,14
13,41
14,33
0,0
15,11
14,47
11,17
7,6
10,3
7,5
8,44
0,38
21,22
0,14
21,14
11,24
17,18
0,5
17,37
0,43
16,11
14,20
7,44
26,40
8,0
5,35
23,40
19,1
13,17
10,23
0,9
0,5
19,0
15,31
0,39
11,26
13,13
12,10
2,41
14,1
2,6
15,12
26,34
0,11
3,39
26,28
26,44
17,27
17,34
11,11
1,4
0,18
15,46
0,44
13,9
15,5
23,12
0,18
14,44
23,38
16,44
0,34
17,14
0,11
0,0
0,11
11,31
4,35
14,17
8,16
4,30
26,37
15,32
19,0
0,36
11,4
17,16
0,46
19,11
26,31
11,38
4,5
14,28
14,6
11,0
26,28
16,31
14,45
0,18
13,14
23,6
8,36
20,13
3,10
8,19
21,0
0,37
23,27
19,23
8,14
0,40
11,20
17,15
0,39
5,25
1,11
7,10
8,0
0,37
3,17
25,9
1,41
25,8
19,13
15,25
0,25
2,0
0,31
4,12
25,18
2,0
4,11
11,2
15,0
22,0
8,41
0,0
19,36
2,31
19,0
15,29
0,25
4,5
3,31
0,12
0,11
8,26
9,17
0,44
17,35
0,0
0,0
7,0
15,18
1,4
8,28
21,47
11,0
0,34
0,10
4,3
4,11
25,0
8,42
26,27
